Population,Latitude,Longitude
Parengarenga,-34.41831,172.74734
Henderson,-34.74943,173.1386
Doubtless Bay,-34.85003,173.50871
Taupo Bay,-34.92934,173.75374
Cape Brett,-35.1666,174.3333
Mimiwhanghata,-35.37359,174.51783
Ruakaka,-35.91456,174.49964
Great Barrier Island,-36.08,175.26
Puriri Bay,-36.20184,175.59967
Mercury Is,-36.68,175.73
Purangi,-36.80011,175.87666
Waihi Beach,-37.40995,175.97473
Tauranga,-37.6154,176.25411
Tauranga,-37.67,176.4
Whakatane,-37.81156,177.04328
Omaio,-37.79459,177.6242
Cape Runaway,-37.55096,177.98896
Lottin,-37.50122,178.15676
Hicks Bay,-37.57228,178.33213
East Cape,-37.60762,178.50798
Tokumuru Bay,-38.13563,178.38771
Tolaga Bay,-38.37843,178.34201
Whangara,-38.56968,178.28197
Tatapouri Point,-38.70198,178.13884
Mahia Peninsula,-39.24001,177.95147
Waikekeno,-39.23162,177.20059
Ahuriri,-39.4695,176.95197
Cape Kidnappers,-39.63548,177.10606
Kairakau,-39.95797,176.98191
Castle,-40.90018,176.2621
Riversdale,-41.11356,176.14988
Kau Bay,-41.46816,174.75771
Makara Beach,-41.19654,174.68425
Hutt River,-41.14,174.54
Tory Channel,-41.20555,174.30563
Marlborough Sounds,-41.3531,174.21516
Ocean,-41.37474,174.10632
Cape Campbell,-41.71882,174.3026
Ward,-41.85825,174.23495
Kaikoura,-42.39735,173.69792
Goose Bay,-42.49515,173.56422
Motunau,-43.07282,173.13541
AvonHeathcote,-43.54498,172.77843
Little Pigeon Bay,-43.59116,172.92014
Banks peninsula,-43.74828,173.15551
Akaroa,-43.84561,172.93165
Tumbledown Bay Banks Peninsula,-43.89594,172.75179
Smithfield rocks Timaru,-44.42112,171.31854
Omaru,-45.12141,171.06182
Moeraki,-45.38094,170.92966
Aramoana,-45.78784,170.71302
Otago,-45.81292,170.87963
Dunedin,-45.95867,170.51028
Waikawa,-46.55008,169.80206
Waipati Beach,-46.65345,169.40208
Slope Point,-46.6874,169.0139
Bluff,-46.65792,168.4332
Patterson Inlet,-46.97695,168.3484
Stewart Is,-47.20517,167.74243
Stewart Island,-46.70541,167.71642
Colac Bay,-46.42213,167.83631
Fiordland,-45.57514,166.58854
Doubtful Sound,-45.26958,166.88936
Cascade Point,-44.00824,168.36571
Jackson,-43.97208,168.64423
Okuru,-43.89,168.92
12 Mile Bluff,-42.40463,171.16051
Woodpecker bay,-41.9823,171.29722
Westport,-41.68194,171.5297
Karamea,-41.25906,172.09565
Whanganui Inlet,-40.5785,172.5984
Pakawau,-40.59333,172.727
Kaiteriteri,-41.03652,173.06733
Mapua,-41.23036,173.13425
Cable Bay,-41.12958,173.40079
Okiwi Bay,-40.99526,173.61329
French Pass,-40.77558,173.75768
Port Hardy,-40.72761,173.87259
Ngakuta Bay,-40.94869,174.11997
Kapiti,-40.85187,174.9141
Hawera,-39.6537,174.25678
Opunake,-39.48672,173.81074
Taranaki,-39.2767,173.7168
Ahu Ahu Rd,-39.09389,173.92482
New Plymouth,-39.03388,174.07496
Tongaporoutu,-38.52137,174.4998
Kawhia,-38.0142,174.60986
Raglan,-37.79055,174.80373
Raglan,-37.48,174.52
Piha,-36.96486,174.44251
Mosquito Beach,-36.43329,174.26707
Herekino,-35.15345,173.10749
